score_rank,amfi_code,scheme_name,fund_house,category,plan,return_3yr_pct,sharpe_calculated,alpha,expense_ratio_pct,max_drawdown,fund_score
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,14.81,1.46250402900308,0.3425648480589057,1.46,-0.11265729075028275,77.43589743589743
2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,18.08,1.1905585963067509,0.2231528385839954,1.36,-0.18188513572116294,75.89743589743591
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.65,1.3194419817117222,0.2115893705480482,1.45,-0.1297396816518679,73.84615384615384
4,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,23.39,0.9533324621776286,0.25364032072286724,1.43,-0.2870600572176455,72.94871794871794
5,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,16.58,1.1043517629506803,0.2186263490090462,1.38,-0.16217208574644848,72.17948717948718
6,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.41,1.0405688566490552,0.24166864257507395,0.8,-0.12588275606922517,68.97435897435896
7,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,14.0,1.0959175992660921,0.27731464396255856,1.51,-0.17414075086657232,64.23076923076924
8,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.36,1.222947214685128,0.2747481491369563,1.54,-0.1501238549864533,61.666666666666664
9,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,17.16,1.1434895599140866,0.13278694190532803,1.61,-0.17248105753451382,60.256410256410255
10,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,13.78,1.0410608155745142,0.24694312461102275,1.6,-0.11291596329323073,60.256410256410255
11,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,20.15,0.45642612430617757,0.23761827989820952,1.53,-0.2334488614483311,58.07692307692308
12,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.56,0.939362157759931,0.21972941828954992,1.52,-0.1527259422823477,57.435897435897445
13,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,13.58,1.2463441409620546,0.20705970542696753,1.6,-0.1639674294693263,55.641025641025635
14,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,23.14,-0.049101169454301964,0.09763670947264107,0.72,-0.5257422117012851,55.51282051282051
15,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,11.3,0.9677516848309506,0.16983354488075658,0.66,-0.11803493502764295,54.61538461538461
16,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,15.18,1.0086257891314467,0.029849667339030946,1.38,-0.20960883862039192,52.94871794871795
17,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,14.76,0.6621241011051734,0.19835219619938135,1.41,-0.1982565826298267,52.820512820512825
18,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,11.54,0.8125023019488139,0.24639092540261065,1.42,-0.13897862823061635,50.76923076923077
19,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,12.82,0.4780917280523983,0.2777927920319955,1.54,-0.14844576917771746,50.25641025641026
20,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.08,0.9579170598994395,-0.10610836071518162,1.52,-0.31171900300634214,49.74358974358974
21,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,7.68,0.9041623305389641,0.063606841208713,0.74,-0.0009773140045925555,49.1025641025641
22,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,11.77,0.6803950621402518,0.19758222732913425,0.89,-0.1165062450540909,48.84615384615384
23,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,12.33,0.6596198173038667,0.16104614882819485,0.72,-0.18629743138595511,48.46153846153846
24,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,15.29,0.31160409740522227,0.048853566060338846,0.78,-0.21117279560132118,47.82051282051281
25,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,12.1,0.8328147683762687,0.2150072061510956,1.57,-0.1085986215250232,47.05128205128205
26,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,18.23,0.08727318479040211,0.08037703289752497,1.56,-0.24003511326274884,43.84615384615385
27,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,22.38,0.17048069518831582,0.009775032340224678,1.53,-0.3544691649336603,42.82051282051282
28,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,13.38,0.7895427197023165,-0.09226272616669928,0.92,-0.15200013055606398,42.43589743589743
29,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,6.18,0.30425182333434436,0.06429548928398371,0.6,-0.0011629327956168556,41.666666666666664
30,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,15.61,-0.19470738058320308,0.14376902738401517,1.51,-0.2800112356639287,40.25641025641026
31,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,20.98,-0.06792567846937411,-0.17002303424121656,1.38,-0.5167775370852656,40.256410256410255
32,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,12.25,0.5092559163430058,0.17836667718226368,1.59,-0.1757361416468729,36.79487179487179
33,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,15.34,0.632319243278044,-0.00012279741664592047,1.64,-0.21539827112383225,36.28205128205128
34,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,12.14,0.14404122210428397,0.03100051304683604,0.75,-0.21751396370148224,33.58974358974359
35,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,5.31,-0.30601321923949243,0.053854816495086624,0.55,-0.08316361763638702,31.410256410256412
36,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,6.07,-0.1757233632822941,0.03178300317737928,0.77,-0.04328728923970093,30.256410256410255
37,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,7.37,-0.515437823586193,0.029420898674033902,0.56,-0.04308263824636349,30.0
38,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,5.14,-0.4172293824615271,0.06155139901106074,0.79,-0.0016224980244717857,27.94871794871795
39,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,14.84,-0.18765046878624,-0.05678297942180475,1.55,-0.24734440880673303,27.17948717948718
40,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.84,0.045245322990343666,0.060814794474155644,1.64,-0.1440161790933726,24.615384615384613
